,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
213,11.417236,17.076311,27.419735,20.480812,1.2640017,0.30790383,0.19424185,0.36665517
214,10.26508,16.999592,27.681402,19.861755,1.1185306,0.29729104,0.2206036,0.44853106
215,8.840069,16.136223,27.0282,18.704277,0.900163,0.25987238,0.24996856,0.4663738
216,9.141192,17.192486,28.391165,19.38457,0.71549475,0.22964856,0.34517187,0.4571573
217,9.3462515,17.843948,29.211962,19.798494,0.7474756,0.22202218,0.37396392,0.40556982
218,11.163008,19.643782,31.019794,21.653347,0.47249496,0.16602272,0.36554334,0.33387002
219,13.132297,21.605179,33.049088,23.747606,0.36608496,0.13058029,0.36810964,0.31018317
220,13.514219,21.960644,33.438988,24.248096,0.33718687,0.12749493,0.39171287,0.28843427
221,13.450545,21.954308,33.47582,24.309978,0.35476407,0.12960094,0.41483203,0.28579235
222,13.223308,21.862373,33.44788,24.20791,0.4084894,0.15909299,0.44258383,0.31796542
223,14.49364,23.346174,35.03028,25.616543,0.36435518,0.13323912,0.28320146,0.27763855
224,14.387708,23.454643,35.23824,25.642775,0.3822822,0.1251915,0.30147913,0.3019509
225,15.139807,24.26054,36.03994,26.405067,0.31491315,0.11481222,0.2660983,0.25511378
226,15.057407,24.157612,35.868164,26.272436,0.33720958,0.12160366,0.25514254,0.2625467
227,15.148239,24.341377,36.03933,26.405333,0.34868443,0.11992202,0.24965952,0.2595806
228,14.789072,24.013947,35.681725,26.06353,0.40300637,0.14657986,0.33987254,0.33497122
229,14.056139,23.383112,35.021053,25.36723,0.43496582,0.15277165,0.3045776,0.34134772
230,15.294344,24.669323,36.3645,26.6672,0.36277467,0.12647052,0.28412,0.28782216
231,13.992229,16.352034,21.681898,19.483679,2.9302933,1.0195956,0.053590503,0.6682318
232,13.81863,16.389477,22.366215,19.66066,3.1625798,1.0765176,0.052196376,0.732198
233,13.966501,16.927347,23.6966,20.34135,3.0705616,1.0649065,0.08133616,0.7219016
234,15.026278,18.223978,27.26474,22.768816,3.6229196,1.3429935,0.072964884,0.80972886
235,14.103056,17.362328,25.664156,21.580187,4.2775316,1.5457174,0.071299754,0.9713767
236,13.419368,16.70824,24.630402,20.78995,4.148393,1.5319316,0.074885346,0.89253277
237,11.296146,14.632123,23.071047,18.869658,4.149564,1.5253569,0.067591704,0.9507534
238,10.004191,13.485672,21.80166,17.516792,4.224041,1.5088834,0.06231088,1.0008734
239,12.830183,16.900167,25.861832,20.769924,2.883393,0.9963787,0.048990782,0.7094314
240,12.502218,17.026003,26.445755,20.771395,2.9220116,1.1411909,0.081296265,0.7069331
241,10.18019,15.083078,25.17765,18.900328,3.5072258,1.4250528,0.13314086,0.91414124
242,7.0473623,11.842952,21.923344,15.683361,4.4340134,1.7835209,0.21145032,1.2151613
243,3.778034,8.767225,19.0253,12.335129,4.6087303,1.9169234,0.4299565,1.3985748
244,1.8489724,6.902398,17.206892,10.429195,4.054798,1.422136,0.479191,1.070224
245,2.8469436,8.091604,18.458519,11.621294,2.1733482,0.56584704,0.24000785,0.6691967
246,7.5113816,13.378977,23.87748,16.63023,1.3806514,0.33609912,0.12578729,0.47384834
247,9.7409725,16.598595,27.391768,19.358192,0.9325289,0.26352087,0.15149017,0.41996124
248,11.290085,18.766388,29.77562,21.210773,0.5842815,0.18200243,0.2001453,0.3371574
249,12.144894,20.257282,31.498302,22.386627,0.4267454,0.16246031,0.2691329,0.2925996
250,12.885801,21.425112,32.825825,23.358711,0.32356715,0.13250901,0.32879198,0.2948107
251,13.501846,22.027838,33.43151,24.005527,0.3137267,0.11714136,0.3253624,0.26077396
