,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,16.731516,19.563759,25.29374,23.558424,1.5331837,0.6280457,0.06777951,0.38029936
1,14.673989,17.963793,24.915367,22.1943,1.8614239,0.7983783,0.0985213,0.5602908
2,16.802551,19.71861,25.583237,23.770773,1.549024,0.62296456,0.06266609,0.40012312
3,15.744555,19.303473,26.95374,23.72565,1.8638945,0.81064045,0.09488113,0.56377256
4,13.556694,17.688337,26.49161,22.175898,2.06657,0.882892,0.14429915,0.6197679
5,12.332699,16.402733,25.463282,20.91121,2.009936,0.85479575,0.2443858,0.717577
6,12.08049,16.082935,25.349133,20.623734,2.0696454,0.8905857,0.28039014,0.73565733
7,11.132999,15.222247,24.543362,19.80997,1.7689065,0.7426526,0.29899085,0.6532552
8,12.607742,16.770088,26.138624,21.403305,1.2288628,0.43977246,0.2794773,0.4728316
9,14.958518,19.420265,29.029053,23.980843,0.6506663,0.17753878,0.21776865,0.3104636
10,17.557663,22.473211,32.310387,26.896746,0.27501774,0.0425448,0.14614516,0.15189222
11,18.494308,23.708588,33.75338,28.052317,0.23418868,0.037678484,0.12982418,0.15704378
12,19.21519,27.277845,38.60447,30.737144,0.23447812,0.04964255,0.13550824,0.1878015
13,16.713755,20.040953,27.99151,24.852436,1.892512,0.8227339,0.09394761,0.6303515
14,13.9823265,17.613714,26.027561,22.388683,2.2524655,0.9890649,0.21093033,0.76767576
15,11.169596,15.25244,24.511806,19.9142,2.7491395,1.2135607,0.3035296,0.97472954
16,9.030175,13.219935,22.673246,17.866425,2.7773292,1.2102492,0.37843785,1.0132984
17,11.281333,15.583202,25.214975,20.207317,1.5596106,0.62838304,0.3304693,0.5887062
18,15.913789,20.57347,30.493938,25.109312,0.4250002,0.093762785,0.19459245,0.24239738
19,17.066414,22.096832,32.0972,26.486773,0.3589007,0.05661105,0.17551662,0.21516138
20,18.247736,23.406734,33.46173,27.778502,0.2500807,0.042492926,0.14641269,0.15185529
21,18.842459,24.24073,34.42339,28.55783,0.2148932,0.03657484,0.12532331,0.14947951
22,19.347284,27.886534,39.461426,31.227781,0.24101096,0.052992087,0.15537113,0.18972956
23,19.259544,27.778522,39.347046,31.16477,0.24425958,0.06227738,0.18237218,0.18927082
24,19.102135,27.603912,39.16847,31.028023,0.25958958,0.0649117,0.18945904,0.18416299
25,18.86363,27.400436,38.96622,30.827145,0.26027918,0.06622803,0.19180167,0.19252272
26,17.812056,26.158522,37.44714,29.743565,0.23457201,0.050815593,0.1935059,0.18877758
27,18.341318,26.906546,38.266727,30.371616,0.22426197,0.05168162,0.19986434,0.19895096
28,16.881218,20.302418,27.292,24.508245,1.6069019,0.6535353,0.05157718,0.5009013
29,16.322153,19.737343,27.422827,24.3554,1.7489543,0.758648,0.06894119,0.5504034
30,15.786689,19.153164,26.935154,23.956987,1.9499887,0.846006,0.11467075,0.643449
31,14.187158,18.067856,27.260145,22.877972,2.4474971,1.0718641,0.24402362,0.8632587
32,9.759626,14.237079,24.473202,18.93826,3.1407623,1.3983214,0.33360374,1.186935
33,11.708529,16.306301,26.569632,20.99738,1.7511107,0.6890452,0.3133936,0.6607523
34,15.018632,20.013988,30.336021,24.50583,0.6807899,0.17345235,0.20891927,0.29635045
35,17.08447,22.246313,32.55225,26.672382,0.3418218,0.06752482,0.1561438,0.19417311
36,17.488375,22.750898,33.053013,27.147772,0.29743716,0.054749887,0.1636712,0.1803829
37,18.436577,23.755888,34.05397,28.146654,0.25572002,0.044653866,0.1369949,0.16080952
38,18.825016,24.34601,34.758335,28.672838,0.23555043,0.042783562,0.12841408,0.16500367
39,19.332884,25.773396,36.575123,29.836428,0.21852387,0.04535107,0.12210172,0.18413721
40,19.213644,27.806458,39.42082,31.144653,0.24294637,0.05870065,0.16060568,0.18934652
41,18.923634,27.493181,39.09938,30.876188,0.2686761,0.06290022,0.19548102,0.19258285
42,18.722387,27.266672,38.865074,30.692951,0.27240577,0.065582454,0.1953907,0.21126647
43,18.217243,26.792496,38.393665,30.214085,0.30285162,0.06729582,0.20773423,0.23809777
44,17.546196,26.01935,37.451157,29.543716,0.28049988,0.060815826,0.1980862,0.23844342
45,17.792486,26.393576,37.829018,29.856451,0.2545448,0.059950363,0.21231966,0.23195104
46,15.725056,19.20679,27.141853,23.731447,1.8551538,0.7962278,0.08910295,0.561597
47,14.878189,18.347279,26.913622,23.149637,1.8995678,0.8097089,0.103321046,0.62960565
48,13.156856,17.068333,27.05446,21.98176,2.5776176,1.1083744,0.25275823,0.9212616
49,11.093156,15.590186,26.029762,20.35272,2.1840348,0.91479576,0.33137155,0.8352059
50,13.291015,18.484537,29.064142,22.978035,1.0806777,0.37695634,0.2844547,0.40569943
51,13.3235,18.983778,29.606138,23.285013,1.0085412,0.30819687,0.23857585,0.37985143
52,15.413983,21.181858,31.768732,25.416124,0.5047451,0.120801866,0.16598552,0.23432887
53,18.587734,24.3459,34.89819,28.5868,0.22529493,0.041547507,0.11613494,0.1547721
54,19.24255,25.097776,35.69215,29.324144,0.20973054,0.04851322,0.10615401,0.15068367
55,19.34157,25.80089,36.74581,29.843786,0.22136712,0.043047585,0.10483805,0.16480206
56,19.363586,28.003788,39.688377,31.343178,0.2333138,0.05639334,0.16327542,0.19056791
57,18.75167,27.434576,39.097347,30.719292,0.26716444,0.058768734,0.1722771,0.19518548
58,18.279257,26.973873,38.632107,30.277437,0.2913628,0.0625144,0.21313946,0.2223535
59,17.639605,26.363863,38.023075,29.683916,0.3054198,0.06437477,0.21594167,0.2475844
60,17.404755,26.169355,37.830208,29.469526,0.3058649,0.07296941,0.2088783,0.2667779
61,18.086939,26.645082,38.129246,30.127142,0.2553125,0.061289143,0.2022561,0.22186545
62,15.881023,19.484823,26.699738,23.626532,1.9412111,0.71989286,0.07659689,0.53950447
63,14.624223,18.525608,26.860085,22.925993,1.979363,0.80829734,0.12284722,0.6256081
64,12.546923,16.895958,26.596628,21.459257,2.3622375,0.9600437,0.19675629,0.75027645
65,11.519855,15.944175,25.965643,20.60115,2.3636806,0.95979136,0.31499308,0.8071149
66,11.29932,16.294258,26.762024,20.887678,1.4847322,0.57073975,0.34095806,0.5467462
