,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
1210,10.831371,17.880726,28.053333,20.436138,1.9754825,0.95124793,0.0445176,0.6085001
1211,10.586056,17.20044,27.75973,20.11402,2.3169148,1.1323793,0.05176438,0.73831624
1212,9.686939,15.921584,26.98456,19.248833,2.9986129,1.4979101,0.06209584,1.0125221
1213,9.671223,15.483964,26.87789,19.191011,3.2295978,1.6454272,0.059688088,1.1290472
1214,9.6656065,14.986143,26.499554,18.939125,3.846904,1.9661398,0.0667024,1.3341739
1215,7.4253235,12.271288,23.77425,16.395906,4.6866956,2.346677,0.11879175,1.4987065
1216,4.0597744,8.815834,20.32111,12.996919,5.187692,2.581353,0.19538122,1.5947973
1217,2.3327112,7.0957003,18.661688,11.3489895,4.949657,2.4702847,0.19763657,1.5823383
1218,4.900301,9.39302,21.021912,13.824082,4.713238,2.3532486,0.18194684,1.4735854
1219,4.2802243,8.549108,20.175068,13.083042,5.1588225,2.5857978,0.18454129,1.6678451
1220,-0.09181931,4.1798267,15.842393,8.762269,5.1257124,2.4065628,0.46915916,1.8359401
1221,-2.0623963,3.2764468,15.087814,7.256196,5.2262125,2.2331955,0.6312599,1.9502954
1222,-4.8459067,0.9212337,12.918474,4.720156,5.1900854,2.3522146,1.0648967,2.0755584
1223,-2.2733831,4.279487,16.388731,7.5053163,2.3018224,1.0350186,0.47503686,0.9260032
1224,6.2476068,13.69084,25.835354,16.288876,0.7524683,0.27052125,0.2085008,0.23846476
1225,6.6079445,14.653664,26.721823,16.745527,0.59017587,0.21972653,0.15423575,0.21175618
1226,5.2226305,13.212056,25.3132,15.351768,0.7329402,0.3758023,0.31554887,0.32961607
1227,-2.9990838,4.4482512,16.722015,7.0947423,1.377977,0.8231922,0.5500858,0.6655113
1228,-0.42909786,7.869478,20.250828,10.07205,0.8607769,0.5128701,0.4393763,0.40165675
1229,3.3098545,12.237404,24.681774,14.069125,0.57638747,0.34904942,0.36596674,0.27852792
1230,3.0621073,12.155766,24.709652,13.925799,0.5691416,0.3661215,0.3858721,0.3023383
1231,11.502618,14.122042,18.262907,16.892202,3.7361984,1.5226204,0.10551985,1.0530713
1232,11.2491455,15.720232,21.738125,18.383268,2.709578,1.0561008,0.060480982,0.77868855
1233,10.428709,15.25464,22.52925,18.239317,2.5919,0.9954072,0.0583518,0.7894604
1234,8.463408,13.946511,22.67651,17.134134,2.3706617,0.9777474,0.06840826,0.787458
1235,7.707674,13.583918,22.537106,16.628017,2.5399523,1.0608531,0.063925125,0.8625503
1236,8.862988,15.216569,24.15719,17.985392,2.0863206,0.8396781,0.061122507,0.69196516
1237,9.640083,16.84723,25.599266,19.02286,1.4997314,0.6226941,0.04766378,0.45549145
1238,10.900021,17.854847,27.857494,20.349766,2.1115997,1.0649662,0.06291473,0.6997518
1239,10.886277,17.467709,27.904266,20.316467,2.5385947,1.3191973,0.061366614,0.8639326
1240,9.853701,15.942408,26.813742,19.176834,3.2281046,1.5993605,0.07049241,1.1337489
1241,9.334993,15.0150385,26.318014,18.668037,3.7528205,1.9016367,0.0541159,1.3913391
1242,8.568984,14.145037,25.545156,17.894802,4.29968,2.1388328,0.07034432,1.5495834
1243,7.2543087,12.604634,23.998396,16.456638,5.101552,2.4713645,0.13066621,1.7042233
1244,5.115266,10.09383,21.535069,14.115606,5.532413,2.683035,0.203922,1.8707502
1245,0.9191239,6.002828,17.44981,9.991508,6.3931017,3.0505855,0.30076095,2.197373
1246,-1.5141326,3.7514205,15.224833,7.6977534,6.5452585,3.10766,0.4549802,2.3304405
1247,-0.9141696,4.3008075,15.782071,8.29971,5.105034,2.4953165,0.5517071,1.9441671
1248,1.3331598,6.4295945,17.972843,10.526002,4.7553096,2.3678002,0.42554957,1.6425577
1249,0.08022252,5.317049,17.020716,9.4733925,5.081938,2.461221,0.7015769,1.9872911
1250,-3.1786146,2.9203367,14.769618,6.5510173,5.7420774,2.6313393,1.112332,2.2701812
1251,-1.5275855,4.5715237,16.622456,8.170675,3.4630194,1.5984281,0.7014688,1.4256704
1252,0.7355442,7.624478,19.805162,10.7178335,1.8983523,0.87672716,0.42629874,0.79224813
1253,3.1302404,10.454799,22.712831,13.237258,1.0269237,0.4067279,0.31192616,0.37968332
