,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,14.793197,17.280872,22.62606,20.66909,2.065499,0.9802548,0.06901557,0.43589437
1,12.719448,15.63054,22.19415,19.249716,2.48496,1.2286329,0.100208186,0.6493779
2,14.856727,17.407103,22.876774,20.851627,2.107478,0.9789863,0.06409281,0.46092927
3,13.784369,16.943811,24.195194,20.753326,2.5147128,1.2631334,0.096472085,0.6584876
4,11.582146,15.280522,23.68098,19.15039,2.7779226,1.3687905,0.14730854,0.7229655
5,10.343791,13.946765,22.600565,17.832521,2.6837199,1.2912691,0.24649629,0.84113157
6,10.081045,13.586858,22.439676,17.49712,2.7706418,1.3474764,0.28442,0.8564611
7,9.126844,12.694097,21.592512,16.64069,2.3918724,1.1356076,0.30488706,0.76930076
8,10.594875,14.209873,23.146383,18.191359,1.6776121,0.6736084,0.2912627,0.5620836
9,12.93894,16.82798,25.995417,20.726227,0.88933855,0.27405933,0.23203424,0.37184307
10,15.53137,19.848852,29.235355,23.599463,0.3757463,0.06477238,0.15973678,0.18716927
11,16.461304,21.05216,30.636957,24.712362,0.32180983,0.05934935,0.14499453,0.19842434
12,17.149048,24.506481,35.338974,27.248688,0.32460156,0.08192037,0.16022964,0.24443904
13,14.747924,17.654882,25.195635,21.85237,2.5736408,1.2850904,0.09672412,0.7453713
14,12.003994,15.181702,23.18105,19.337503,3.050318,1.5455804,0.21678156,0.90794224
15,9.178763,12.774487,21.614662,16.811907,3.7063792,1.8776858,0.30890533,1.1486502
16,7.0302243,10.704061,19.730717,14.718428,3.7574122,1.8678694,0.38308403,1.1926255
17,9.275643,13.037425,22.232315,17.01903,2.1360497,0.9773111,0.33806217,0.70020735
18,13.902363,17.99779,27.471146,21.880735,0.5806648,0.14451298,0.20183934,0.2984617
19,15.049248,19.491251,29.034277,23.217907,0.49183136,0.087823324,0.18652229,0.26481888
20,16.224834,20.771252,30.358677,24.469343,0.34498653,0.0656598,0.16047886,0.18839931
21,16.81382,21.575344,31.280209,25.20838,0.297805,0.05824198,0.13914388,0.18608153
22,17.285963,25.108305,36.16825,27.733055,0.33675382,0.0907912,0.18339685,0.24729586
23,17.190891,24.985056,36.033997,27.652222,0.33937597,0.10395811,0.21629752,0.24961597
24,17.026146,24.79521,35.835552,27.497656,0.36014676,0.10714325,0.22581254,0.2411835
25,16.780306,24.576494,35.613438,27.278957,0.35967088,0.10827178,0.23033422,0.25734
26,15.721397,23.319347,34.07449,26.177555,0.31921357,0.08341282,0.23744234,0.2550568
27,16.243324,24.052134,34.87421,26.787788,0.30493087,0.08393372,0.24652061,0.26870346
28,14.931023,17.977404,24.557165,21.578535,2.2178817,1.0372674,0.05205655,0.6082964
29,14.361318,17.368597,24.638807,21.376642,2.4093902,1.1961472,0.07129982,0.66222405
30,13.815211,16.74069,24.101948,20.929182,2.6810882,1.3287038,0.11691651,0.7708856
