,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
0,16.704845,19.197708,24.78052,23.195518,1.9902707,0.75727236,0.084497795,0.37054604
1,14.648045,17.579502,24.383995,21.823246,2.420697,0.95714056,0.1186392,0.55208457
2,16.775444,19.34409,25.059261,23.404142,2.0303657,0.75425714,0.07953428,0.39082927
3,15.719189,18.911377,26.412691,23.351318,2.4450486,0.97882247,0.1151614,0.55854034
4,13.533066,17.278666,25.933495,21.793865,2.7090552,1.0647614,0.1779359,0.6143905
5,12.310809,15.975489,24.888092,20.521477,2.6316063,1.0217985,0.3015766,0.717983
6,12.062177,15.642181,24.761799,20.226517,2.7237563,1.0691563,0.34325343,0.73312604
7,11.120104,14.772046,23.948803,19.40548,2.352819,0.9007954,0.36708438,0.6595194
8,12.600261,16.310442,25.536846,20.991543,1.6501701,0.53845906,0.34348726,0.48385572
9,14.956452,18.95117,28.420055,23.56181,0.8784882,0.21840367,0.26795056,0.3233747
10,17.561012,21.994665,31.694172,26.47044,0.37223747,0.05264517,0.17830028,0.16398038
11,18.503075,23.220598,33.129944,27.618738,0.31995657,0.047569912,0.15859777,0.17323448
12,19.23515,26.768444,37.966503,30.28765,0.3272923,0.063566945,0.16724385,0.21296108
13,16.688969,19.641048,27.440786,24.474833,2.5023212,0.995765,0.11703166,0.63080984
14,13.960292,17.196901,25.460846,22.003828,2.9750838,1.2003387,0.26351827,0.77064645
15,11.150313,14.81872,23.929098,19.522095,3.627402,1.4689273,0.37528196,0.97919494
16,9.015048,12.773782,22.079113,17.467457,3.6835072,1.4687564,0.46701086,1.0189484
17,11.271761,15.129095,24.613972,19.801868,2.0909522,0.77079624,0.40898558,0.60059524
18,15.90977,20.111408,29.886068,24.697388,0.57249737,0.115958214,0.2389313,0.26127106
19,17.06795,21.626816,31.482468,26.06837,0.487112,0.07005826,0.21646477,0.23131283
20,18.254831,22.928764,32.840126,27.353617,0.3407921,0.053012267,0.18001467,0.16416946
21,18.855106,23.754812,33.79492,28.126467,0.29608148,0.046466995,0.1537151,0.16214341
22,19.369528,27.379967,38.81636,30.780268,0.33903033,0.06889432,0.1924804,0.21441332
23,19.280075,27.271654,38.70221,30.717268,0.342817,0.07993204,0.22618179,0.21547106
24,19.120945,27.09674,38.523853,30.58054,0.363187,0.08267405,0.23537904,0.20819834
25,18.880728,26.89296,38.321835,30.37968,0.36328954,0.08365671,0.23870236,0.22073334
26,17.827435,25.650736,36.802982,29.29611,0.32515505,0.06357413,0.24039485,0.2178382
27,18.354979,26.398458,37.62279,29.924177,0.31144708,0.06393925,0.2486336,0.23048781
28,16.849476,19.927198,26.761414,24.14096,2.1436887,0.7933807,0.06579656,0.5104363
29,16.294182,19.345879,26.87733,23.98132,2.333318,0.9210112,0.08558795,0.55718786
30,15.762484,18.745457,26.37474,23.576107,2.5998628,1.0280151,0.1453659,0.6509052
31,14.166716,17.643902,26.684832,22.490294,3.2576923,1.3095859,0.30689895,0.87380683
32,9.742951,13.796881,23.88298,18.543783,4.174878,1.7066052,0.4164438,1.2050556
33,11.696584,15.854751,25.968695,20.596663,2.3406377,0.8403732,0.39000556,0.67578655
34,15.0123825,19.555979,29.728577,24.099428,0.91790456,0.21136436,0.25880608,0.31400293
35,17.083916,21.781841,31.93829,26.260302,0.46355146,0.08340088,0.1933195,0.20861968
36,17.493513,22.279966,32.43254,26.73,0.40672058,0.06842142,0.20282248,0.19490924
37,18.447409,23.278496,33.426987,27.723198,0.35265264,0.05653301,0.1697332,0.17327659
38,18.841543,23.862158,34.12484,28.243704,0.32810706,0.054588526,0.15896493,0.18057145
39,19.355106,25.283081,35.935116,29.401608,0.3077125,0.059239082,0.15135549,0.20621234
40,19.23817,27.302732,38.768658,30.699116,0.34437093,0.07660197,0.19947083,0.2139945
41,18.945663,26.987967,38.44626,30.429775,0.3816107,0.08143712,0.24277,0.21839145
42,18.741926,26.759964,38.210995,30.245659,0.38600928,0.08419783,0.24260215,0.2416086
43,18.234287,26.284298,37.738636,29.765923,0.42955503,0.08556096,0.2575262,0.2722911
44,17.560747,25.509672,36.795174,29.09468,0.39531624,0.07610267,0.24471517,0.27451223
45,17.80454,25.882402,37.172073,29.406538,0.35764754,0.074043214,0.26209134,0.2673832
46,15.696647,18.806862,26.585596,23.353642,2.495485,0.9735985,0.1159883,0.5752334
47,14.854562,17.931765,26.34354,22.765484,2.5523472,0.9956538,0.13109483,0.6399658
48,13.13801,16.63724,26.470547,21.591257,3.460147,1.3617971,0.3212953,0.9547681
49,11.079091,15.143512,25.432018,19.955872,2.928582,1.1202103,0.41675144,0.8663126
50,13.282257,18.027586,28.45641,22.575571,1.4582869,0.45767707,0.35473502,0.424287
51,13.320572,18.52186,28.992245,22.877655,1.3737578,0.37992507,0.29751772,0.3972274
52,15.416891,20.714972,31.148684,25.003878,0.69302726,0.15059221,0.20693696,0.24613369
53,18.596476,23.874046,34.271984,28.16966,0.31098178,0.053022403,0.14464822,0.16300614
54,19.257126,24.620956,35.059784,28.902119,0.29206824,0.062495835,0.13255867,0.16028644
55,19.361973,25.319098,36.107285,29.416872,0.31114498,0.055364754,0.13115142,0.1772335
56,19.393665,27.505566,39.03125,30.901386,0.33436558,0.07467872,0.20351246,0.2127781
57,18.778482,26.933685,38.43808,30.275736,0.38285065,0.077397056,0.21421304,0.21909721
58,18.302792,26.470308,37.97071,29.832115,0.4185323,0.08140554,0.26479644,0.24981445
59,17.65987,25.857628,37.359543,29.236824,0.44054922,0.08328833,0.2676279,0.28369233
60,17.421745,25.660446,37.164543,29.02067,0.43883145,0.09259816,0.2580265,0.30669641
61,18.100658,26.133495,37.46144,29.676517,0.36272293,0.0771043,0.24918027,0.25260827
62,15.846388,19.091333,26.145472,23.250896,2.6289902,0.88456213,0.10140492,0.5560395
63,14.59538,18.117205,26.293068,22.544458,2.6814024,0.9944638,0.1591412,0.64531654
64,12.523874,16.47264,26.016865,21.071827,3.197442,1.1848396,0.2535338,0.7761977
65,11.502601,15.50594,25.373135,20.207819,3.1994152,1.1896002,0.4016381,0.83920443
66,11.287861,15.841109,26.156767,20.488459,2.008943,0.70594966,0.4301041,0.5682933
67,13.827459,19.884323,30.58676,23.956303,1.2217515,0.33671203,0.3513179,0.348814
68,17.569765,23.768213,34.425747,27.725315,0.5447518,0.097658105,0.21504423,0.2056991
69,18.2785,24.134838,34.715706,28.23439,0.3281364,0.053126074,0.12183028,0.15120512
70,18.848705,24.589529,35.180187,28.747759,0.26348782,0.048964147,0.12312181,0.14122762
71,19.262373,25.479013,36.308414,29.461433,0.27078554,0.06024123,0.13024913,0.15448073
72,18.643894,26.831142,38.400455,30.193947,0.38267237,0.08698635,0.22014561,0.23009689
73,17.51669,25.759315,37.33464,29.107788,0.47281832,0.08663406,0.28905177,0.28044888
74,16.694319,25.10095,36.666195,28.34179,0.5209455,0.09318619,0.39791322,0.3143174
75,15.909912,24.363354,35.928318,27.57665,0.4857827,0.085393205,0.32973608,0.30867198
76,17.017477,25.524225,37.03088,28.71435,0.4350884,0.09495282,0.30859995,0.30201766
77,16.427526,18.707432,24.428577,22.733334,2.0422904,0.66424453,0.077753246,0.45313245
78,17.062397,19.463226,25.49163,23.65142,2.0898945,0.6887389,0.081398934,0.46467355
79,17.31637,19.928057,26.380623,24.274275,2.3197773,0.7695892,0.08090247,0.50346494
80,16.900576,20.234419,28.129612,24.783463,2.523305,0.87158465,0.121982254,0.5500325
81,14.897784,18.840614,28.587204,23.770218,3.0362706,1.095786,0.25330222,0.72229654
82,11.953153,16.091213,26.369461,21.11053,3.383308,1.2256048,0.40945235,0.8243253
83,12.316528,16.62591,26.744986,21.344753,2.4218285,0.87310266,0.37515244,0.601946
84,9.706933,14.581874,24.908575,19.084776,2.3463628,0.8045167,0.5320367,0.6350492
85,14.206997,20.362091,30.993944,24.35065,0.900929,0.23728637,0.30121416,0.29731524
86,17.692152,24.137264,34.76911,27.949638,0.5154838,0.11235525,0.21328084,0.2119707
87,16.349941,22.39147,32.98426,26.411932,0.5766726,0.1125723,0.20058641,0.20456254
88,18.342598,24.58031,35.353973,28.549324,0.3234176,0.06465943,0.13210322,0.17267367
89,19.801527,27.633228,39.07053,31.134125,0.3368119,0.0917267,0.19854827,0.20885035
