,t_winter,t_spring,t_summer,t_fall,p_winter,p_spring,p_summer,p_fall
1354,12.982982,17.152187,23.448256,20.288319,9.101414,1.8084514,0.10448563,1.661143
1355,13.488511,17.837246,24.19159,20.821142,8.462812,1.5920293,0.10574556,1.4436243
1356,12.945903,18.126747,24.75987,20.908566,6.336746,1.4348937,0.07062724,1.1459159
1357,13.282733,19.515516,27.367847,22.202818,4.2569804,0.99860805,0.059351645,0.9481793
1358,13.014996,19.464817,27.410288,22.110577,4.246669,0.9861012,0.09481611,0.8963918
1359,13.410187,20.116127,29.419466,22.916515,4.044091,1.3943647,0.12181324,0.71829003
1360,13.763238,20.230371,30.363981,23.622313,4.375861,1.5123283,0.13249546,0.8764323
1361,13.132488,19.516182,29.916862,23.058144,6.2812166,2.0201097,0.17243293,1.2568502
1362,12.367474,18.460928,28.938845,21.985407,7.868901,2.3861034,0.18675286,1.5142896
1363,11.833624,17.607239,28.365692,21.253838,8.501144,2.586132,0.23377584,1.799526
1364,10.959928,16.261503,27.371668,20.15366,9.876279,2.9535546,0.3453752,2.196776
1365,10.09008,15.102788,26.394117,19.176579,10.822403,3.2636476,0.39014098,2.3771906
1366,8.664168,13.566839,24.989426,17.768694,12.136282,3.682913,0.40570918,2.5902667
1367,7.471088,12.575459,24.042004,16.714077,10.239318,3.1187596,0.42863327,2.3833237
1368,4.1611414,9.339476,20.805817,13.537528,10.897329,3.2847848,0.6229481,2.7695012
1369,1.191929,6.525695,17.937195,10.646677,12.331711,3.6445303,0.96703935,3.5290856
1370,-0.9730175,5.2162805,16.48907,8.798194,12.580534,3.493007,1.2806504,3.9013166
1371,-2.3035302,4.346832,15.607848,7.6476445,12.781994,3.3152826,1.3448126,3.7765477
1372,-3.4008088,3.7681582,14.901216,6.6502204,11.946298,2.9918895,1.1783757,3.4438853
1373,0.7084471,8.18926,19.241507,10.800358,5.21287,1.3325523,0.7315789,1.4485064
1374,1.8216362,9.248894,20.31743,11.85536,4.225482,1.0582207,0.7119614,1.163676
1375,1.0292253,7.8392625,19.13842,10.765963,3.1794143,0.93793404,0.7634266,0.93309873
1376,2.438115,9.279762,20.647207,12.182401,2.6985176,0.72646576,0.6448063,0.7804425
